title,genres,profitable,rank
Spy Kids 3-D: Game Over,Action-Adventure-Comedy-Family-Science Fiction,418.45258421052637,1
Teenage Mutant Ninja Turtles: Out of the Shadows,Action-Adventure-Comedy-Family-Science Fiction,81.94359111111112,2
The Golden Child,Action-Adventure-Comedy-Fantasy-Mystery,219.271756,1
The In-Laws,Action-Adventure-Comedy-Mystery,324.44444444444446,1
Bird on a Wire,Action-Adventure-Comedy-Romance,593.5,1
The Lost City,Action-Adventure-Comedy-Romance,122.01328108108108,2
"Safornication, la película",Action-Adventure-Comedy-Science Fiction,1800.0,1
Men in Black,Action-Adventure-Comedy-Science Fiction,554.8783766666667,2
The Adam Project,Action-Adventure-Comedy-Science Fiction,306.0344827586207,3
Men in Black II,Action-Adventure-Comedy-Science Fiction,217.95377714285715,4
Charlie's Angels,Action-Adventure-Comedy-Science Fiction,52.66643333333333,5
Kingsman: The Golden Circle,Action-Adventure-Comedy-Science Fiction-Crime,590.1974269230769,1
Wild Wild West,Action-Adventure-Comedy-Science Fiction-Western,30.649812352941176,1
The Big Hit,Action-Adventure-Comedy-Thriller,107.74725384615384,1
Tango & Cash,Action-Adventure-Comedy-Thriller,15.28838909090909,2
Leon jumps in the Liffey for 50 euro,Action-Adventure-Comedy-Thriller-Documentary-Drama,99900.0,1
Shanghai Knights,Action-Adventure-Comedy-Western,76.646974,1
Speed,Action-Adventure-Crime,1068.1604833333333,1
xXx: Return of Xander Cage,Action-Adventure-Crime,307.2325388235294,2
Kick-Ass 2,Action-Adventure-Crime,116.78571428571429,3
Raavanan,Action-Adventure-Crime,86.53846153846155,4
Force 2,Action-Adventure-Crime,12.307692307692308,5
Sarkar Raj,Action-Adventure-Crime-Drama,891.4634146341463,1
Al Capone,Action-Adventure-Crime-Drama,150.0,2
A Force of One,Action-Adventure-Crime-Drama-Thriller,476.1714285714286,1
The Proposition,Action-Adventure-Crime-Drama-Thriller-Western,152.43465,1
Sherlock Holmes,Action-Adventure-Crime-Mystery,482.2540877777778,1
Shaft's Big Score!,Action-Adventure-Crime-Mystery,405.5611729019211,2
xXx: State of the Union,Action-Adventure-Crime-Mystery-Thriller,18.456553333333332,1
RoboCop 2,Action-Adventure-Crime-Science Fiction-Thriller,30.51763714285714,1
Breaker! Breaker!,Action-Adventure-Crime-Thriller,4700.0,1
Shaft,Action-Adventure-Crime-Thriller,133.96983695652173,2
16 Blocks,Action-Adventure-Crime-Thriller,19.390401818181818,3
Operation Mekong,Action-Adventure-Crime-War,472.8476821192053,1
Twister,Action-Adventure-Drama,437.4690478260869,1
Beau Geste,Action-Adventure-Drama,66.66666666666666,2
The Huntsman: Winter's War,Action-Adventure-Drama,43.46898956521739,3
Crossover,Action-Adventure-Drama,20.689655172413794,4
The Karate Kid,Action-Adventure-Drama-Family,797.8150549999999,1
White Fang,Action-Adventure-Drama-Family,148.52257142857144,2
Fly Away Home,Action-Adventure-Drama-Family,14.290081818181818,3
Lions for Lambs,Action-Adventure-Drama-History,80.61677714285715,1
The Last of the Mohicans,Action-Adventure-Drama-History-Romance-War,88.76464,1
Detective Dee and the Mystery of the Phantom Flame,Action-Adventure-Drama-Mystery,297.87142307692307,1
Robin Hood: Prince of Thieves,Action-Adventure-Drama-Romance,713.5289750000001,1
The Black Swan,Action-Adventure-Drama-Romance,283.38465658053286,2
